Name,pozicija,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Overall
J. Stockley,N,63,63,63,57,59,59,59,57,56,56,56,56,52,52,52,56,46,46,46,46,46,44,46,46,46,44,31,66,69,52,29,58,40,29,38,64,65,67,67,61,51,64,73,81,80,48,74,37,65,41,64,50,28,25,18,14,6,15,9,12,65
I. Vásquez,V,48,48,48,54,53,53,53,54,59,59,59,57,63,63,63,57,61,64,64,64,61,59,57,57,57,59,58,27,37,74,47,54,49,55,71,63,46,39,81,58,77,62,68,75,58,63,56,61,46,66,39,54,64,55,63,13,14,9,15,8,65
M. De Iriondo,V,56,56,56,57,56,56,56,57,56,56,56,58,58,58,58,58,63,63,63,63,63,64,65,65,65,64,51,43,55,60,40,59,55,40,56,60,71,72,71,54,69,71,75,84,77,68,79,64,43,52,40,46,66,65,65,15,15,11,6,7,65
Kaká,V,56,56,56,63,62,62,62,63,63,63,63,63,61,61,61,63,57,57,57,57,57,56,52,52,52,56,60,45,35,66,38,68,60,55,61,67,67,68,72,67,77,57,55,48,42,52,74,52,64,61,39,56,48,55,47,13,10,15,8,12,65
M. Blair,V,60,60,60,62,61,61,61,62,60,60,60,63,58,58,58,63,60,55,55,55,60,58,51,51,51,58,58,56,45,56,52,63,44,56,54,61,86,90,68,61,62,60,58,84,64,52,39,48,58,58,56,52,53,50,43,15,12,14,12,13,65
J. Petriccione,V,59,59,59,62,62,62,62,62,64,64,64,62,63,63,63,62,58,61,61,61,58,57,58,58,58,57,63,49,63,74,39,64,50,42,72,70,58,53,59,63,68,57,63,34,60,46,61,55,65,64,49,57,50,58,58,10,14,10,9,15,65
J. Sambenito,N,64,64,64,64,64,64,64,64,63,63,63,63,57,57,57,63,46,43,43,43,46,44,37,37,37,44,57,65,64,58,55,65,45,30,53,66,72,70,72,68,75,63,64,58,49,60,49,25,65,59,59,60,14,21,19,10,11,11,16,7,65
C. Schoissengeyr,B,36,36,36,32,33,33,33,32,35,35,35,36,43,43,43,36,50,56,56,56,50,53,64,64,64,53,29,18,74,51,24,25,24,28,45,37,43,34,33,51,53,22,60,66,93,17,69,58,23,40,39,57,66,61,64,7,6,8,11,11,65
L. Perdomo,V,49,49,49,52,51,51,51,52,54,54,54,54,58,58,58,54,63,64,64,64,63,64,63,63,63,64,46,32,53,56,39,55,43,38,61,64,55,58,80,61,79,47,74,83,63,60,56,75,39,48,44,56,55,70,71,8,9,7,14,12,65
M. Röser,V,60,60,60,64,62,62,62,64,62,62,62,64,58,58,58,64,54,50,50,50,54,51,43,43,43,51,66,55,42,62,58,62,66,68,57,63,80,83,74,59,76,71,63,67,62,63,52,40,57,65,59,67,29,32,31,8,13,7,9,5,65
S. Roux,B,57,57,57,60,58,58,58,60,58,58,58,61,57,57,57,61,63,60,60,60,63,63,62,62,62,63,64,58,60,58,33,61,57,39,54,61,71,78,73,56,60,42,81,70,69,38,58,57,57,51,44,63,67,63,64,10,14,13,10,11,65
Pol Valentín,B,54,54,54,60,57,57,57,60,57,57,57,61,56,56,56,61,64,59,59,59,64,63,58,58,58,63,60,30,40,58,29,62,59,21,56,61,91,92,78,60,61,55,60,68,60,38,59,60,62,47,32,54,60,61,60,15,8,13,12,14,65
H. Ruíz,V,59,59,59,60,60,60,60,60,61,61,61,61,64,64,64,61,63,65,65,65,63,63,63,63,63,63,60,52,56,67,45,59,49,55,64,60,55,57,60,66,60,64,50,74,75,60,62,67,63,65,56,63,64,64,60,7,8,12,7,9,65
Kim Min Woo,V,62,62,62,64,63,63,63,64,63,63,63,63,62,62,62,63,61,59,59,59,61,60,56,56,56,60,62,62,50,64,63,63,62,52,62,64,73,73,73,60,74,64,70,65,69,62,63,68,60,62,53,60,15,64,65,11,6,14,16,10,65
F. Kippe,B,51,51,51,40,45,45,45,40,45,45,45,41,50,50,50,41,48,58,58,58,48,51,63,63,63,51,33,46,70,56,43,24,51,53,55,49,24,25,27,66,31,70,44,41,93,52,76,63,40,49,62,64,62,58,55,14,9,10,6,11,65
J. Řezníček,N,63,63,63,62,62,62,62,62,61,61,61,61,58,58,58,61,52,52,52,52,52,51,50,50,50,51,52,67,56,54,56,62,44,57,55,66,70,74,57,58,58,61,57,64,81,60,68,50,65,59,64,60,18,44,39,10,14,11,13,10,65
A. Al Zaqan,V,63,63,63,65,63,63,63,65,62,62,62,64,54,54,54,64,45,40,40,40,45,42,35,35,35,42,57,66,55,58,49,68,61,53,55,66,85,83,77,56,69,64,78,64,67,57,39,17,60,53,63,57,18,11,16,14,15,9,12,10,65
J. Alondro,B,50,50,50,50,49,49,49,50,49,49,49,53,53,53,53,53,62,62,62,62,62,64,67,67,67,64,57,35,68,59,25,42,27,27,47,54,63,66,54,66,54,34,61,68,82,29,71,65,49,43,33,43,68,68,66,15,11,15,9,7,65
L. Ferguson,V,62,62,62,63,64,64,64,63,65,65,65,63,64,64,64,63,59,61,61,61,59,59,58,58,58,59,42,59,51,68,59,66,49,56,66,68,73,72,76,61,76,62,63,69,69,59,60,55,58,65,44,51,53,59,54,6,11,6,14,14,65
R. Augustyniak,V,52,52,52,56,54,54,54,56,56,56,56,57,58,58,58,57,62,63,63,63,62,62,63,63,63,62,51,47,44,64,43,57,49,55,58,61,65,67,62,56,54,42,59,75,81,59,66,63,42,48,43,46,65,65,66,12,15,13,8,9,65
A. Cannon,V,60,60,60,64,63,63,63,64,64,64,64,66,64,64,64,66,66,64,64,64,66,65,61,61,61,65,60,52,53,67,35,67,60,50,61,67,79,77,72,68,71,58,56,80,66,38,59,57,62,62,49,61,57,67,64,7,15,7,9,11,65
C. Woods,B,55,55,55,57,55,55,55,57,56,56,56,59,59,59,59,59,64,63,63,63,64,64,64,64,64,64,63,44,62,64,42,62,55,38,63,62,62,63,61,60,68,54,68,75,62,40,73,63,48,45,49,60,62,66,65,15,15,6,15,9,65
E. Sabbi,N,63,63,63,65,64,64,64,65,62,62,62,62,52,52,52,62,46,40,40,40,46,43,37,37,37,43,41,61,55,55,53,69,51,43,34,69,89,90,91,60,88,55,94,68,54,55,44,17,68,47,54,61,35,14,13,14,13,8,10,7,65
D. McCrory,B,54,54,54,57,55,55,55,57,56,56,56,59,59,59,59,59,64,63,63,63,64,64,62,62,62,64,69,46,48,59,37,52,54,44,63,59,67,62,71,59,46,54,71,89,79,54,65,59,55,50,47,52,64,66,62,13,11,11,7,16,65
T. Öztürk,V,53,53,53,51,52,52,52,51,54,54,54,53,59,59,59,53,59,63,63,63,59,60,65,65,65,60,46,32,72,66,37,49,40,38,64,60,54,48,53,64,46,60,35,64,84,55,65,61,44,53,34,56,63,66,60,12,9,8,13,6,65
De Los Reyes,B,53,53,53,56,53,53,53,56,52,52,52,58,53,53,53,58,64,58,58,58,64,64,60,60,60,64,69,38,57,53,25,62,32,30,45,66,75,77,67,49,59,56,80,88,69,42,63,58,42,38,36,45,51,63,66,12,12,11,7,10,65
A. Batsula,B,54,54,54,57,56,56,56,57,57,57,57,59,60,60,60,59,64,64,64,64,64,64,64,64,64,64,65,37,62,62,34,57,42,42,60,62,60,65,57,63,52,50,60,72,74,40,70,64,57,59,38,52,62,65,65,14,10,15,13,7,65
R. Kerschbaum,V,58,58,58,59,60,60,60,59,61,61,61,60,63,63,63,60,62,63,63,63,62,62,60,60,60,62,48,50,48,68,46,56,49,54,62,63,67,68,63,64,65,64,58,73,64,62,63,60,58,63,58,56,55,66,63,9,12,10,12,6,65
N. Bakker,B,47,47,47,49,47,47,47,49,48,48,48,51,51,51,51,51,59,59,59,59,59,60,64,64,64,60,51,32,68,62,29,52,35,29,59,55,69,67,45,55,59,42,75,49,75,32,59,63,22,39,45,51,60,67,64,7,10,12,7,8,65
Raphael Silva,B,42,42,42,36,37,37,37,36,35,35,35,37,39,39,39,37,51,52,52,52,51,55,63,63,63,55,28,30,69,34,31,31,35,36,28,41,52,51,40,51,46,45,72,61,72,30,67,63,31,30,44,48,67,68,66,10,13,14,9,7,65
L. Berry,V,63,63,63,64,63,63,63,64,64,64,64,65,64,64,64,65,62,61,61,61,62,61,61,61,61,61,57,61,66,66,53,63,45,63,62,64,75,74,77,64,73,55,91,81,76,56,61,58,62,66,56,57,55,55,48,9,13,16,11,12,65
Mauro Cerqueira,B,59,59,59,62,60,60,60,62,60,60,60,62,60,60,60,62,64,62,62,62,64,64,62,62,62,64,63,47,51,62,33,65,60,56,58,64,70,73,71,67,75,60,75,74,68,58,65,58,62,47,45,60,62,64,65,11,6,9,13,8,65
S. Bidaoui,N,59,59,59,64,63,63,63,64,63,63,63,64,58,58,58,64,50,45,45,45,50,46,36,36,36,46,55,50,48,61,54,72,62,56,55,70,82,73,82,61,81,62,47,73,40,57,49,30,61,57,55,60,18,21,24,11,7,15,15,5,65
Damià,V,54,54,54,58,58,58,58,58,61,61,61,60,63,63,63,60,61,64,64,64,61,61,61,61,61,61,45,54,58,67,43,59,48,43,65,68,70,61,58,63,67,49,65,72,49,59,70,62,32,73,70,60,66,60,57,15,13,13,16,12,65
H. Jele,B,61,61,61,63,63,63,63,63,64,64,64,65,66,66,66,65,66,65,65,65,66,66,64,64,64,66,60,49,68,62,63,73,63,43,77,75,68,65,63,50,50,64,58,73,53,60,54,64,60,61,46,66,66,69,73,14,8,8,9,7,65
D. Jones,B,57,57,57,60,58,58,58,60,59,59,59,63,59,59,59,63,64,60,60,60,64,63,60,60,60,63,65,42,51,60,46,59,66,67,58,58,78,87,72,63,70,56,78,85,73,45,61,58,57,61,48,64,54,57,60,4,3,17,5,8,65
R. Edwards,B,45,45,45,41,42,42,42,41,42,42,42,43,46,46,46,43,56,57,57,57,56,59,64,64,64,59,33,30,65,52,32,32,33,41,41,42,65,52,69,58,70,49,77,68,71,24,55,65,34,38,50,48,67,67,68,7,9,12,15,14,65
B. Finne,V,64,64,64,65,65,65,65,65,64,64,64,64,56,56,56,64,48,43,43,43,48,44,37,37,37,44,49,64,51,63,68,68,62,70,37,69,79,76,83,67,85,70,82,73,52,57,49,21,62,58,66,59,30,12,15,16,10,14,12,7,65
R. Tarifeño,N,64,64,64,65,65,65,65,65,64,64,64,63,56,56,56,63,47,43,43,43,47,45,35,35,35,45,51,71,39,64,63,65,58,35,57,67,77,83,82,58,71,68,63,52,42,62,30,21,70,50,56,60,21,24,33,5,5,5,15,15,65
Bruno Gomes,N,64,64,64,61,63,63,63,61,61,61,61,59,54,54,54,59,41,41,41,41,41,39,37,37,37,39,36,64,59,55,59,63,60,40,53,64,74,73,62,59,62,70,60,55,66,63,45,15,64,59,69,57,21,21,16,12,14,12,8,9,65
M. Dombrowka,B,48,48,48,55,52,52,52,55,53,53,53,58,53,53,53,58,64,59,59,59,64,64,60,60,60,64,61,27,46,60,21,60,29,26,39,62,73,76,74,59,67,32,63,79,70,26,53,59,49,43,32,61,62,63,66,14,5,11,6,6,65
N. Mezquida,V,61,61,61,64,63,63,63,64,64,64,64,62,58,58,58,62,48,47,47,47,48,45,40,40,40,45,59,55,55,62,64,68,66,72,55,68,72,55,84,64,84,67,44,49,44,65,48,38,63,63,43,75,49,19,12,9,14,14,13,9,65
M. Saadane,B,54,54,54,55,54,54,54,55,56,56,56,57,60,60,60,57,63,64,64,64,63,63,63,63,63,63,54,41,66,70,33,54,43,54,67,69,60,63,64,58,59,61,58,67,62,52,66,65,36,45,55,55,52,69,67,7,10,14,15,5,65
M. Fink,B,50,50,50,57,54,54,54,57,56,56,56,59,59,59,59,59,64,62,62,62,64,64,62,62,62,64,67,26,51,66,33,62,41,34,62,60,65,61,60,61,72,36,64,68,64,41,55,62,61,47,44,60,65,67,68,14,8,10,10,14,65
B. Diaby,B,51,51,51,57,54,54,54,57,55,55,55,60,56,56,56,60,64,61,61,61,64,63,64,64,64,63,67,22,58,62,27,62,20,28,51,64,73,81,56,62,58,30,74,67,80,15,70,57,59,48,37,65,64,63,58,12,10,13,7,14,65
C. Elder,B,52,52,52,57,55,55,55,57,56,56,56,60,58,58,58,60,63,61,61,61,63,63,62,62,62,63,58,29,62,61,32,63,54,29,59,62,73,75,58,58,65,40,72,77,65,32,56,61,55,50,36,45,60,63,63,12,14,11,13,11,65
R. Ledson,V,59,59,59,60,61,61,61,60,62,62,62,62,64,64,64,62,61,64,64,64,61,60,62,62,62,60,50,55,58,73,45,63,52,50,67,63,62,61,68,64,70,59,67,73,65,52,82,52,57,61,53,56,63,62,57,14,16,16,8,11,65
M. Udol,B,52,52,52,57,55,55,55,57,57,57,57,59,57,57,57,59,62,62,62,62,62,63,64,64,64,63,57,38,64,60,35,61,35,37,53,62,76,73,69,60,75,34,61,59,65,31,78,61,50,57,44,56,64,67,65,13,12,12,8,13,65
A. Al Mutairi,V,61,61,61,62,62,62,62,62,64,64,64,63,60,60,60,63,46,45,45,45,46,43,37,37,37,43,55,58,59,68,55,66,50,46,62,65,64,57,78,61,69,62,65,79,67,54,42,19,62,66,65,50,13,21,19,6,12,13,14,12,65
P. Tschernegg,V,49,49,49,52,51,51,51,52,53,53,53,55,58,58,58,55,62,64,64,64,62,62,63,63,63,62,51,32,54,64,30,54,40,38,59,58,55,55,62,66,63,48,67,91,77,49,69,62,38,50,36,62,66,62,59,10,8,11,8,11,65
J. Duque,B,49,49,49,55,51,51,51,55,52,52,52,56,53,53,53,56,63,59,59,59,63,64,63,63,63,64,64,33,52,47,40,65,55,39,59,55,66,70,77,64,77,35,88,71,62,41,61,65,50,36,48,31,62,66,72,15,10,15,12,10,65
A. Katranis,B,55,55,55,60,58,58,58,60,59,59,59,61,59,59,59,61,64,61,61,61,64,63,62,62,62,63,65,40,53,65,39,64,58,42,52,63,72,72,67,58,71,58,70,67,65,52,70,61,48,59,52,59,58,64,65,10,8,7,6,9,65
Aloísio,B,52,52,52,52,53,53,53,52,53,53,53,53,56,56,56,53,57,61,61,61,57,58,63,63,63,58,48,38,61,61,38,57,37,42,57,61,48,51,42,63,43,57,57,52,78,46,63,59,43,51,48,48,65,65,60,14,15,11,13,15,65
Evandro,N,64,64,64,61,62,62,62,61,60,60,60,60,53,53,53,60,47,44,44,44,47,44,42,42,42,44,45,65,64,53,53,68,54,49,38,62,72,76,69,63,69,69,75,71,70,52,53,42,60,55,65,60,32,14,11,11,12,8,6,16,65
G. Castillejos,N,63,63,63,58,60,60,60,58,57,57,57,56,53,53,53,56,44,44,44,44,44,42,42,42,42,42,45,65,70,52,50,61,49,40,47,58,54,53,52,64,48,64,60,60,73,64,52,35,72,49,70,46,20,24,23,11,12,13,9,12,65
K. van Veen,N,64,64,64,57,61,61,61,57,58,58,58,55,53,53,53,55,39,41,41,41,39,37,38,38,38,37,29,66,62,46,66,62,67,70,53,67,52,53,62,57,54,76,74,64,77,66,47,19,69,53,55,59,29,13,18,19,17,15,13,14,65
N. Garmendia,V,59,59,59,63,63,63,63,63,63,63,63,62,58,58,58,62,53,52,52,52,53,52,49,49,49,52,52,57,44,62,53,74,69,49,59,74,75,69,69,63,75,64,50,33,47,47,50,29,46,62,58,68,62,43,48,12,10,12,8,8,65
E. Alexander,V,61,61,61,62,62,62,62,62,63,63,63,64,65,65,65,64,63,64,64,64,63,62,60,60,60,62,61,52,51,70,58,63,66,39,67,65,60,63,64,66,64,66,48,76,70,65,65,60,64,62,57,65,58,60,56,7,14,13,13,11,65
Luis Ruiz,B,51,51,51,55,52,52,52,55,52,52,52,57,53,53,53,57,63,59,59,59,63,64,62,62,62,64,61,33,57,54,38,61,36,35,47,60,70,73,56,62,65,29,70,70,69,31,58,65,56,39,48,58,60,63,70,12,6,6,15,15,65
A. Hunter,N,61,61,61,64,63,63,63,64,63,63,63,62,57,57,57,62,51,46,46,46,51,49,42,42,42,49,55,64,49,61,51,67,55,59,43,66,76,73,75,61,61,56,63,58,57,61,30,28,60,64,57,45,24,40,38,13,13,14,7,12,65
L. Owusu,B,59,59,59,62,61,61,61,62,60,60,60,62,59,59,59,62,64,61,61,61,64,63,61,61,61,63,60,50,44,66,34,67,66,66,51,60,80,82,72,55,75,72,79,74,64,62,72,55,57,48,38,50,61,68,63,10,7,11,13,8,65
L. Rougeaux,B,51,51,51,50,49,49,49,50,48,48,48,53,53,53,53,53,63,62,62,62,63,63,65,65,65,63,64,42,60,55,42,44,27,36,59,55,55,63,31,64,52,52,55,76,80,37,67,66,39,41,47,59,67,64,66,7,10,10,8,7,65
O. Fisher,B,52,52,52,59,56,56,56,59,58,58,58,61,59,59,59,61,63,62,62,62,63,63,60,60,60,63,55,29,50,62,40,64,57,37,61,64,78,76,82,63,75,47,52,70,46,32,72,62,58,50,44,60,63,64,61,14,12,13,8,8,65
A. Benchaib,V,58,58,58,64,63,63,63,64,64,64,64,63,58,58,58,63,48,45,45,45,48,46,38,38,38,46,55,53,41,62,63,68,65,62,56,65,76,70,80,59,67,60,74,59,49,61,35,18,62,69,58,72,28,30,34,14,6,6,6,9,65
F. Fydriszewski,N,63,63,63,58,62,62,62,58,59,59,59,56,54,54,54,56,45,45,45,45,45,42,44,44,44,42,32,66,62,58,63,69,37,33,31,70,50,54,48,59,42,67,60,64,79,68,54,34,58,51,60,48,25,25,26,6,7,14,12,7,65
T. Ndenge,V,60,60,60,61,62,62,62,61,62,62,62,62,62,62,62,62,62,63,63,63,62,62,62,62,62,62,52,50,47,64,50,66,57,40,60,64,71,72,65,65,63,77,70,69,77,57,66,59,54,62,57,62,61,65,61,13,9,7,10,14,65
F. Flórez,V,52,52,52,56,55,55,55,56,56,56,56,59,58,58,58,59,62,63,63,63,62,61,62,62,62,61,54,42,44,66,29,62,39,42,64,66,72,60,57,60,77,47,66,69,73,34,78,61,47,42,45,62,63,64,57,9,8,7,8,13,65
G. Risso Patrón,B,51,51,51,57,54,54,54,57,55,55,55,59,56,56,56,59,63,60,60,60,63,63,60,60,60,63,57,41,46,57,29,61,35,33,54,60,74,71,65,61,66,28,54,69,57,29,56,64,60,46,45,62,69,65,64,13,8,7,10,13,65
T. Parkes,B,47,47,47,47,47,47,47,47,48,48,48,51,53,53,53,51,58,60,60,60,58,59,63,63,63,59,44,27,60,58,25,51,47,38,54,55,54,61,52,58,46,54,74,75,83,26,75,56,33,47,29,58,55,67,62,8,6,9,7,8,65
J. Untersee,V,58,58,58,62,60,60,60,62,62,62,62,63,63,63,63,63,65,62,62,62,65,65,62,62,62,65,67,48,65,67,32,62,52,34,62,64,68,68,68,68,68,55,76,68,53,45,46,57,55,67,57,59,62,67,68,4,3,4,4,4,65
D. Gabriele,V,62,62,62,64,64,64,64,64,64,64,64,63,57,57,57,63,48,45,45,45,48,45,38,38,38,45,49,65,48,61,56,65,61,62,47,67,75,74,81,64,72,63,66,69,47,54,42,20,64,63,67,52,39,22,21,15,7,13,9,16,65
M. Mbaye,V,57,57,57,59,59,59,59,59,61,61,61,61,63,63,63,61,62,64,64,64,62,61,63,63,63,61,44,42,62,72,34,65,40,43,72,71,70,74,67,58,66,55,70,74,79,58,67,60,45,52,54,60,57,59,57,10,13,6,14,14,65
S. Lovric,V,55,55,55,55,57,57,57,55,58,58,58,57,62,62,62,57,59,63,63,63,59,59,60,60,60,59,41,41,51,65,41,58,38,41,59,64,54,41,59,71,63,64,58,76,66,58,64,64,54,57,40,66,58,62,58,11,10,12,13,7,65
C. Kerr,B,49,49,49,58,54,54,54,58,56,56,56,60,56,56,56,60,64,59,59,59,64,63,59,59,59,63,61,24,43,60,23,64,31,30,48,63,81,79,75,59,66,34,55,73,73,28,50,56,53,52,38,50,59,65,65,11,7,10,8,11,65
Ronan,N,63,63,63,54,59,59,59,54,56,56,56,52,51,51,51,52,39,41,41,41,39,37,41,41,41,37,34,66,74,62,62,62,51,29,27,64,30,32,40,58,33,66,30,54,92,59,57,20,68,47,65,61,16,24,23,12,13,10,10,10,65
A. Gruber,N,61,61,61,63,62,62,62,63,62,62,62,64,57,57,57,64,51,46,46,46,51,48,40,40,40,48,68,59,54,63,55,62,61,62,61,61,73,75,73,72,80,65,78,68,53,47,53,21,59,59,48,51,23,24,31,13,11,9,15,8,65
T. Nowak,V,59,59,59,62,61,61,61,62,63,63,63,63,63,63,63,63,60,60,60,60,60,58,56,56,56,58,61,49,48,70,62,61,68,45,69,67,70,73,78,57,76,66,67,64,72,68,59,63,56,60,67,68,49,45,47,16,10,8,13,6,65
S. Salviato,B,56,56,56,54,53,53,53,54,53,53,53,56,55,55,55,56,63,61,61,61,63,64,65,65,65,64,59,42,61,57,53,52,57,57,52,55,70,72,63,61,63,71,82,79,82,58,69,61,39,49,45,59,66,65,65,11,13,13,7,11,65
G. Aguirre,B,50,50,50,53,51,51,51,53,51,51,51,55,53,53,53,55,62,60,60,60,62,63,64,64,64,63,51,29,62,57,26,57,40,36,48,60,74,70,67,60,61,39,65,70,69,28,63,61,48,39,42,50,71,64,65,13,13,14,14,14,65
G. Rojas,B,57,57,57,63,61,61,61,63,61,61,61,63,60,60,60,63,65,61,61,61,65,64,60,60,60,64,66,45,41,60,49,68,56,51,51,65,70,77,78,63,72,56,64,75,61,59,61,62,62,55,50,64,59,63,64,7,6,13,9,9,65
I. Openda,N,63,63,63,61,63,63,63,61,61,61,61,60,51,51,51,60,43,40,40,40,43,41,37,37,37,41,32,62,56,63,54,64,44,30,33,59,89,86,65,57,77,65,54,58,69,47,33,16,66,56,61,43,30,19,15,9,8,10,8,13,65
R. Wallace,N,62,62,62,63,62,62,62,63,61,61,61,63,61,61,61,63,61,58,58,58,61,60,56,56,56,60,62,60,63,63,56,63,67,49,56,58,77,74,72,61,70,64,73,85,64,60,66,60,59,60,59,60,30,55,55,11,12,15,15,16,65
J. Jervis,N,64,64,64,65,64,64,64,65,62,62,62,65,56,56,56,65,53,48,48,48,53,51,45,45,45,51,59,63,61,62,35,65,30,29,42,63,89,85,69,66,54,62,59,80,71,58,55,24,60,54,68,61,33,38,22,9,11,14,14,6,65
S. O'Neill,B,57,57,57,57,58,58,58,57,58,58,58,58,60,60,60,58,60,63,63,63,60,60,63,63,63,60,46,48,49,64,42,60,59,43,60,62,59,67,53,70,49,62,63,58,80,51,67,62,53,54,42,59,62,63,63,16,6,6,10,15,65
Raul Asencio,N,63,63,63,60,62,62,62,60,60,60,60,59,53,53,53,59,43,42,42,42,43,41,39,39,39,41,39,66,68,63,47,60,44,36,43,63,70,73,69,59,52,60,69,61,68,55,42,25,64,52,61,65,19,18,15,9,9,7,9,11,65
T. Hołota,V,59,59,59,58,58,58,58,58,59,59,59,59,61,61,61,59,61,63,63,63,61,61,63,63,63,61,54,51,67,65,40,60,34,48,62,62,62,59,54,56,56,66,32,72,80,62,66,63,52,59,55,55,62,62,62,15,7,10,7,14,65
G. Paquiez,B,54,54,54,56,55,55,55,56,56,56,56,59,59,59,59,59,64,62,62,62,64,64,62,62,62,64,58,34,57,68,47,57,51,43,59,54,69,74,64,59,66,58,60,78,64,44,60,66,54,54,51,58,62,60,65,15,12,7,8,16,65
F. Costa,V,57,57,57,64,61,61,61,64,63,63,63,63,57,57,57,63,50,44,44,44,50,47,36,36,36,47,68,59,54,67,49,68,71,62,53,63,72,70,85,53,83,56,47,66,29,63,33,23,54,63,53,54,32,22,29,12,11,12,14,13,65
N. Aankour,V,59,59,59,65,63,63,63,65,63,63,63,65,61,61,61,65,61,57,57,57,61,60,54,54,54,60,64,52,46,59,39,65,43,58,58,68,80,82,80,65,82,55,77,77,61,56,52,48,61,64,59,62,45,52,55,15,11,8,13,12,65
J. Donisa,N,63,63,63,64,64,64,64,64,63,63,63,63,58,58,58,63,50,48,48,48,50,49,44,44,44,49,57,67,59,63,64,66,58,56,53,63,73,74,64,50,62,62,60,62,65,61,30,29,67,65,68,59,39,40,29,12,12,8,6,12,65
Choi Kyu Baek,B,44,44,44,44,44,44,44,44,46,46,46,48,51,51,51,48,59,60,60,60,59,61,64,64,64,61,40,21,68,57,26,38,27,28,59,45,66,70,58,61,58,40,66,64,76,22,43,69,32,50,36,65,64,67,66,12,7,15,5,11,65
V. Demidov,B,48,48,48,41,43,43,43,41,45,45,45,43,51,51,51,43,53,61,61,61,53,55,64,64,64,55,36,39,67,65,41,29,43,45,65,44,37,36,52,55,34,62,61,55,74,51,73,66,38,37,41,47,65,63,65,13,16,11,15,15,65
K. Bare,V,59,59,59,61,61,61,61,61,63,63,63,63,62,62,62,63,57,59,59,59,57,56,54,54,54,56,48,58,50,70,32,65,39,40,67,62,70,65,66,57,73,50,60,73,67,54,59,52,64,62,39,63,50,47,49,13,12,11,11,13,65
Paulo Otávio,B,54,54,54,63,59,59,59,63,61,61,61,63,60,60,60,63,65,60,60,60,65,64,57,57,57,64,69,40,34,67,46,68,55,46,54,67,79,76,82,59,83,58,60,69,44,57,57,60,54,49,41,48,67,58,63,8,7,6,15,13,65
N. Oroz,V,58,58,58,64,61,61,61,64,63,63,63,64,61,61,61,64,60,57,57,57,60,58,52,52,52,58,64,48,45,68,46,71,55,49,61,69,75,77,81,55,78,65,35,62,57,57,45,58,51,57,48,53,57,46,45,7,16,9,14,15,65
A. Walongwa,B,44,44,44,39,40,40,40,39,41,41,41,41,45,45,45,41,52,57,57,57,52,55,63,63,63,55,24,21,67,51,29,27,35,38,48,56,53,50,51,56,53,41,62,52,78,25,67,63,39,27,54,58,63,65,62,15,16,8,13,15,65
T. Moore,B,52,52,52,58,54,54,54,58,55,55,55,59,54,54,54,59,63,58,58,58,63,63,60,60,60,63,65,39,59,56,27,57,42,37,47,58,80,84,73,60,77,30,69,75,61,33,60,62,59,46,49,55,57,61,59,16,14,9,7,10,65
R. Yamanaka,B,48,48,48,57,53,53,53,57,55,55,55,59,56,56,56,59,65,60,60,60,65,63,60,60,60,63,71,28,43,64,35,68,66,68,54,61,67,70,66,66,78,29,74,69,63,38,49,59,45,39,48,53,63,62,65,10,7,12,13,5,65
E. Hamilton,V,62,62,62,61,62,62,62,61,63,63,63,61,63,63,63,61,59,62,62,62,59,59,60,60,60,59,57,58,64,69,52,61,54,50,64,65,60,55,62,61,60,70,61,66,68,68,70,59,59,63,51,54,57,54,53,7,11,5,9,11,65
R. Salinas,N,64,64,64,56,60,60,60,56,57,57,57,54,52,52,52,54,44,45,45,45,44,43,47,47,47,43,34,68,69,55,63,62,39,28,32,63,39,52,51,70,47,71,72,60,75,58,63,26,64,48,66,50,33,32,29,7,12,8,14,9,65
S. Zwierschitz,B,55,55,55,56,55,55,55,56,55,55,55,57,56,56,56,57,63,62,62,62,63,63,64,64,64,63,59,41,59,63,36,58,55,61,57,55,69,69,64,62,56,58,74,68,69,49,63,64,53,42,56,49,67,68,63,8,7,6,16,15,65
A. Stewart,B,41,41,41,43,41,41,41,43,43,43,43,46,48,48,48,46,57,59,59,59,57,59,63,63,63,59,42,20,65,50,18,38,27,24,49,48,59,59,66,63,63,26,73,76,74,19,66,62,28,44,33,56,64,65,63,13,12,10,7,12,65
S. Tronstad,V,58,58,58,62,61,61,61,62,63,63,63,63,63,63,63,63,63,62,62,62,63,62,57,57,57,62,58,58,39,64,63,69,58,51,63,65,67,67,76,59,74,61,77,75,47,60,64,63,53,62,58,68,43,68,64,15,14,11,15,8,65
A. Castro,V,54,54,54,55,55,55,55,55,57,57,57,57,62,62,62,57,61,64,64,64,61,61,63,63,63,61,63,37,60,66,54,59,60,62,66,62,47,37,52,67,67,69,73,70,73,58,65,64,47,63,45,65,54,65,64,12,12,6,11,13,65
